timestamp,simple-path,time
"2022-05-14 11:51:37.501","/master/welcome",3411
"2022-05-14 11:51:37.808","/master/welcome",252
"2022-05-14 11:51:38.957","/master/sign-in",1090
"2022-05-14 11:51:40.18","/master/welcome",555
"2022-05-14 11:51:41.42","/inventor/item/create",1088
"2022-05-14 11:51:43.056","/master/welcome",564
"2022-05-14 11:51:47.349","/master/welcome",202
"2022-05-14 11:51:47.582","/master/welcome",203
"2022-05-14 11:51:48.196","/master/sign-in",556
"2022-05-14 11:51:49.412","/master/welcome",557
"2022-05-14 11:51:50.122","/inventor/item/create",558
"2022-05-14 11:51:53.1","/master/welcome",217
"2022-05-14 11:51:53.35","/master/welcome",218
"2022-05-14 11:51:53.961","/master/sign-in",560
"2022-05-14 11:51:55.198","/master/welcome",569
"2022-05-14 11:51:55.925","/inventor/item/create",555
"2022-05-14 11:51:57.564","/inventor/item/create",556
"2022-05-14 11:51:57.825","/master/welcome",217
"2022-05-14 11:51:58.44","/master/welcome",554
"2022-05-14 11:52:00.707","/master/welcome",191
"2022-05-14 11:52:00.944","/master/welcome",198
"2022-05-14 11:52:01.558","/master/sign-in",560
"2022-05-14 11:52:02.765","/master/welcome",556
"2022-05-14 11:52:03.475","/inventor/item/create",560
"2022-05-14 11:52:05.192","/inventor/item/create",555
"2022-05-14 11:52:05.419","/master/welcome",187
"2022-05-14 11:52:06.037","/master/welcome",553
"2022-05-14 11:52:08.306","/master/welcome",185
"2022-05-14 11:52:08.532","/master/welcome",207
"2022-05-14 11:52:09.152","/master/sign-in",563
"2022-05-14 11:52:10.357","/master/welcome",559
"2022-05-14 11:52:11.066","/inventor/item/create",557
"2022-05-14 11:52:12.814","/inventor/item/create",568
"2022-05-14 11:52:13.06","/master/welcome",210
"2022-05-14 11:52:13.68","/master/welcome",558
"2022-05-14 11:52:15.962","/master/welcome",205
"2022-05-14 11:52:16.196","/master/welcome",206
"2022-05-14 11:52:16.815","/master/sign-in",556
"2022-05-14 11:52:18.049","/master/welcome",559
"2022-05-14 11:52:18.763","/inventor/item/create",556
"2022-05-14 11:52:20.441","/inventor/item/create",558
"2022-05-14 11:52:20.688","/master/welcome",204
"2022-05-14 11:52:21.309","/master/welcome",561
"2022-05-14 11:52:23.594","/master/welcome",199
"2022-05-14 11:52:23.829","/master/welcome",205
"2022-05-14 11:52:24.442","/master/sign-in",557
"2022-05-14 11:52:25.648","/master/welcome",559
"2022-05-14 11:52:26.359","/inventor/item/create",558
"2022-05-14 11:52:28.01","/inventor/item/create",555
"2022-05-14 11:52:28.259","/master/welcome",202
"2022-05-14 11:52:28.874","/master/welcome",557
"2022-05-14 11:52:31.155","/master/welcome",207
"2022-05-14 11:52:31.376","/master/welcome",183
"2022-05-14 11:52:31.994","/master/sign-in",560
"2022-05-14 11:52:33.197","/master/welcome",555
"2022-05-14 11:52:33.907","/inventor/item/create",557
"2022-05-14 11:52:35.541","/inventor/item/create",557
"2022-05-14 11:52:35.783","/master/welcome",184
"2022-05-14 11:52:36.389","/master/welcome",555
"2022-05-14 11:52:38.667","/master/welcome",207
"2022-05-14 11:52:38.884","/master/welcome",188
"2022-05-14 11:52:39.5","/master/sign-in",553
"2022-05-14 11:52:40.749","/master/welcome",556
"2022-05-14 11:52:41.455","/inventor/item/create",554
"2022-05-14 11:52:43.098","/inventor/item/create",550
"2022-05-14 11:52:43.345","/master/welcome",204
"2022-05-14 11:52:43.966","/master/welcome",555
